ordinals,dates
734838,12/1/2012
734869,1/1/2013
734900,2/1/2013
734928,3/1/2013
734959,4/1/2013
734989,5/1/2013
735020,6/1/2013
735050,7/1/2013
735081,8/1/2013
735112,9/1/2013
735142,10/1/2013
735173,11/1/2013
735203,12/1/2013
735234,1/1/2014
735265,2/1/2014
735293,3/1/2014
735324,4/1/2014
735354,5/1/2014
735385,6/1/2014
735415,7/1/2014
735446,8/1/2014
735477,9/1/2014
735507,10/1/2014
735538,11/1/2014
735568,12/1/2014
735599,1/1/2015
735630,2/1/2015
735658,3/1/2015
735689,4/1/2015
735719,5/1/2015
735750,6/1/2015
735780,7/1/2015
735811,8/1/2015
735842,9/1/2015
735872,10/1/2015
735903,11/1/2015
735933,12/1/2015
735964,1/1/2016
735995,2/1/2016
736024,3/1/2016
736055,4/1/2016
736085,5/1/2016
736116,6/1/2016
736146,7/1/2016
736177,8/1/2016
736208,9/1/2016
736238,10/1/2016
736269,11/1/2016
736299,12/1/2016
736330,1/1/2017
736361,2/1/2017
736389,3/1/2017
736420,4/1/2017
736450,5/1/2017
736481,6/1/2017
736511,7/1/2017
736542,8/1/2017
736573,9/1/2017
736603,10/1/2017
736634,11/1/2017
736664,12/1/2017
736695,1/1/2018
736726,2/1/2018
736754,3/1/2018
736785,4/1/2018
736815,5/1/2018
736846,6/1/2018
736876,7/1/2018
736907,8/1/2018
736938,9/1/2018
736968,10/1/2018
736999,11/1/2018
737029,12/1/2018
737060,1/1/2019
737091,2/1/2019
737119,3/1/2019
737150,4/1/2019
737180,5/1/2019
737211,6/1/2019
737241,7/1/2019
737272,8/1/2019
737303,9/1/2019
737333,10/1/2019
737364,11/1/2019
737394,12/1/2019
737425,1/1/2020
737456,2/1/2020
737485,3/1/2020
737516,4/1/2020
737546,5/1/2020
737577,6/1/2020
737607,7/1/2020
737638,8/1/2020
737669,9/1/2020
737699,10/1/2020
737730,11/1/2020
737760,12/1/2020
737791,1/1/2021
737822,2/1/2021
737850,3/1/2021
737881,4/1/2021
737911,5/1/2021
737942,6/1/2021
737972,7/1/2021
738003,8/1/2021
738034,9/1/2021
738064,10/1/2021
738095,11/1/2021
738125,12/1/2021
738156,1/1/2022
738187,2/1/2022
738215,3/1/2022
738246,4/1/2022
